23_em_52	2 p
2009213-139-37	1 3 + \pi r ^ { 2 }
formulaire031-equation033	\cos ^ { n } \theta
MfrDB0470	x ^ { 2 } + y ^ { 2 } = 5
formulaire015-equation035	1 6 6 - 3 1 = 1 3 5
200924-1312-229	k _ { I _ { X } }
MfrDB2493	5 0 ! \cdot n = 4 8 !
formulaire033-equation028	a _ { y } = 0
formulaire026-equation043	f _ { 0 } - f _ { 1 } + f _ { 2 }
MfrDB1959	\int \limits _ { 0 } ^ { 1 } \int \limits _ { 0 } ^ { 1 } x ^ { 2 } y ^ { 2 } d x d y
MfrDB1642	E = M C ^ { 2 }
200923-1556-213	\sum B \neq \sum 2
formulaire012-equation013	1 0 ^ { 3 - 4 }
200922-947-77	- \sigma
formulaire029-equation003	b = 2 ^ { n }
TrainData2_11_sub_88	3 0 \times 2 9 x ^ { 2 8 }
formulaire037-equation031	\frac { 2 \pi } { 4 5 }
TrainData2_7_sub_9	\sqrt { b ^ { 2 } - 4 a c }
formulaire014-equation052	a u + b v = 1
200925-1126-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
formulaire021-equation026	7 ^ { 2 } = 4 9
formulaire034-equation033	( n - 2 ) \times ( n - 2 )
formulaire005-equation059	p = 2 n - 1
MfrDB3053	\int \limits _ { a } ^ { a } f ( x ) d x = 0
MfrDB0115	E = m c ^ { 2 }
formulaire021-equation018	8 \times 8 = 6 4
200922-947-159	B + z = 2 z
MfrDB3403	( 1 2 - x ) ^ { 2 }
200925-1126-93	- B + \int \pi d j
formulaire024-equation047	q ^ { d } - 1
MfrDB1555	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
formulaire017-equation018	r \sin \theta
90_alfonso	y = r \sin \theta
formulaire036-equation046	x = z \sqrt { b }
200924-1312-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
MfrDB2012	\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
formulaire034-equation063	6 4 = 2 ^ { 6 }
formulaire038-equation022	\sqrt { - g } = t
MfrDB3414	( y ^ { 4 } - 1 ) / ( y ^ { 2 } - 1 )
2009210-947-148	- E _ { q } - \cdots + P E
KME2G3_17_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
KME2G3_30_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
MfrDB3417	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
2009213-137-136	\sqrt { m - h + I }
formulaire001-equation012	u = ( u _ { n } )
200923-1254-140	\sum \limits _ { \mu > A } P
formulaire006-equation021	X \leq y
MfrDB0555	2 + 2 = 4
200926-131-199	\sqrt { I } ^ { [ 7 ] } ( R ^ { j } )
formulaire026-equation064	e ^ { t } X _ { t }
200926-1617-38	\frac { 4 } { 3 } \pi r ^ { 3 }
200923-1556-3	\sum s ^ { Y }
200923-1556-152	\frac { \alpha } { y }
MfrDB2004	a x + b < c
formulaire007-equation023	8 y _ { i + 1 }
200922-947-73	a ^ { b ^ { c ^ { d } } }
200923-1553-60	\frac { \beta + \gamma } { \theta }
MfrDB0039	f ( x + y ) = f ( x ) f ( y )
200923-1556-227	\cdots + C \neq V
formulaire027-equation038	z ^ { k + 1 }
200922-947-7	\sum \limits _ { m } f ( m + 3 )
formulaire014-equation053	f ( 0 ) = - \frac { 1 } { 2 }
formulaire027-equation062	f _ { 1 } , \ldots , f _ { m }
MfrDB2865	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
2009213-137-27	u - p F _ { v }
MfrDB2839	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
formulaire002-equation036	\theta \rightarrow - \theta
formulaire016-equation023	\beta = \cos ( \theta )
formulaire027-equation019	( x , y , z )
MfrDB2029	v = \frac { d s } { d t }
200923-1254-229	- i
formulaire004-equation023	a + c = b
MfrDB0732	y = x + 1
200923-1254-104	\sum 3 - \int B d V
formulaire037-equation051	- 3 x
formulaire038-equation031	a ^ { n - 1 }
formulaire014-equation016	k = - \frac { 1 } { 2 }
MfrDB2382	x ^ { y } - y ^ { x }
200926-1550-139	\frac { q - [ u _ { h } ] } { 0 }
MfrDB2386	( 1 2 - x ) ^ { 2 }
200926-1617-80	e ^ { \int x ^ { 2 } d x }
MfrDB2498	3 x - 5 < - 2
formulaire014-equation026	\beta _ { n + 1 } = \beta _ { n }
200924-1312-56	2 \alpha + 3 \sqrt { \beta }
formulaire025-equation071	x ^ { n - 1 }
formulaire009-equation052	k \rightarrow \infty
TrainData2_9_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
200922-1017-68	\tan ( \frac { \pi } { 2 } ) = \infty
2009213-137-152	\frac { n } { \frac { \phi } { s } }
200923-1251-80	e ^ { \int x ^ { 2 } d x }
formulaire031-equation026	b _ { 2 n + 1 }
KME2G3_22_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
formulaire003-equation039	3 , 1 4 1 5
MfrDB2840	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
formulaire014-equation034	a z _ { i j }
MfrDB3059	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
65_leo	x = r \cos \theta
MfrDB3497	( y ^ { 4 } - 1 ) / ( y ^ { 2 } - 1 )
formulaire001-equation032	\sum v _ { n }
200926-1550-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
200924-1331-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
formulaire021-equation053	\gamma _ { y } ( 0 ) = y _ { 1 }
formulaire027-equation014	p = 0 , 1
KME2G3_20_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200923-1553-207	\frac { Y } { 4 . 1 }
TrainData2_10_sub_20	a + b + c + d + e
formulaire038-equation056	\beta ^ { y } = \beta ^ { z } = 0
2009213-137-245	\frac { M } { \frac { H } { y } }
formulaire005-equation044	\frac { \alpha } { p ( p + \alpha ) }
formulaire026-equation034	c _ { i } \neq c _ { j }
200926-131-185	\frac { X + d } { [ I ] }
KME2G3_4_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
MfrDB3327	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
formulaire028-equation066	2 x 1 0 ^ { 1 9 }
200923-1251-43	\frac { \pi r ^ { 2 } h } { 3 }
formulaire027-equation071	\frac { 1 } { 2 } ( 1 \pm i )
200922-1017-110	- H + P _ { \mu } < \theta
formulaire038-equation072	w = x y z
formulaire028-equation002	d _ { n } ( x , y )
formulaire035-equation060	1 6 9 / 1 6 3 \leq 1
200923-1251-7	\sum \limits _ { m } f ( m + 3 )
MfrDB0017	\int \limits _ { a } ^ { b } f ( x ) d x
200923-131-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
MfrDB1558	\log 5 + \log 4 x = 2
200922-947-67	\tan ( \frac { \pi } { 4 } ) = 1
MfrDB0040	f ( x y ) = f ( x ) + f ( y )
MfrDB2872	( 1 + x ) ^ { r } \geq 1 + r x
MfrDB1775	\frac { 2 ^ { 5 } } { 3 + 1 }
200923-1253-41	\sum \limits _ { R \geq H } B
200926-1550-7	\sum \limits _ { m } f ( m + 3 )
200923-131-313	\int q d \sigma + a ^ { q }
200923-1254-67	\tan ( \frac { \pi } { 4 } ) = 1
TrainData2_19_sub_88	3 0 \times 2 9 x ^ { 2 8 }
KME2G3_12_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
formulaire031-equation013	f ( y ) = a y ( 1 - y )
MfrDB2237	2 + 3 = 5
MfrDB1405	\frac { 1 } { 2 } x = 1 0
formulaire023-equation021	a _ { 3 } = 3 2
MfrDB1680	( y ^ { 4 } - 1 ) / ( y ^ { 2 } - 1 )
200922-949-118	\frac { - g - Y } { u j }
TrainData2_16_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
KME2G3_16_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
TrainData1_1_sub_3	x ^ { 2 } + y ^ { 2 } < 1
MfrDB0144	e = m c ^ { 2 }
MfrDB1551	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
90_leo	y = r \sin \theta
200922-1017-7	\sum \limits _ { m } f ( m + 3 )
2009213-139-197	\frac { I } { 4 }
MfrDB2078	\frac { 2 ^ { 5 } } { 3 + 1 }
2009213-137-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
formulaire015-equation053	x = - \sqrt { y - 3 }
KME2G3_28_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
MfrDB2419	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
200922-947-85	\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } }
200923-1553-214	x + w ^ { 2 } ( G )
MfrDB2264	\frac { 1 } { 2 }
MfrDB3867	v = a \cdot b \cdot c
200923-1253-183	\sqrt { \sum b + \phi }
200926-131-4	\sum \sqrt { - L - u - i }
2009213-137-73	a ^ { b ^ { c ^ { d } } }
formulaire025-equation002	( x _ { b } , y _ { a } )
TrainData2_12_sub_88	3 0 \times 2 9 x ^ { 2 8 }
200923-131-102	n ^ { - k }
200923-1254-27	P - m \geq ( 3 )
formulaire008-equation017	u = x ^ { 2 }
2009213-137-248	\int \limits _ { w } ^ { T m } F d P
formulaire033-equation032	u _ { 0 } = a
formulaire005-equation001	x ^ { n } = z
MfrDB1751	\frac { 2 ^ { 5 } } { 3 + 1 }
formulaire032-equation010	3 8 + 6 1 \leq 9 9
MfrDB1910	a _ { n } = a _ { 1 } + ( n - 1 ) d
formulaire014-equation072	u ( 0 ) = u _ { 0 }
2009213-137-164	E + T ( S )
TrainData2_5_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
formulaire026-equation027	2 \pi r h
MfrDB2064	\alpha + b = c
200922-1017-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
MfrDB2834	a x + b < c
formulaire015-equation013	2 ^ { n } \times 2 ^ { n }
formulaire034-equation066	x _ { i } = 0
formulaire008-equation028	x + d x
MfrDB2882	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
formulaire027-equation072	g _ { u u } g _ { v v }
formulaire006-equation013	1 - ( - 1 ) ^ { d }
formulaire025-equation018	\frac { a } { b c }
200926-1617-153	\cdots + l
formulaire014-equation008	d _ { x ^ { 2 } - y ^ { 2 } }
formulaire018-equation061	\alpha + \gamma = \beta
TrainData2_5_sub_9	\sqrt { b ^ { 2 } - 4 a c }
formulaire034-equation014	k _ { 1 } = k _ { t } = k
formulaire027-equation068	\beta _ { 0 } = 1
formulaire005-equation014	X \rightarrow p \rightarrow q
formulaire021-equation011	k \times n
formulaire027-equation057	u = f ( x )
200922-949-67	\tan ( \frac { \pi } { 4 } ) = 1
200923-1556-217	3 . 1 \geq \int s d c
TrainData2_9_sub_9	\sqrt { b ^ { 2 } - 4 a c }
KME2G3_18_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200924-1331-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
200925-1126-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
200923-1254-73	a ^ { b ^ { c ^ { d } } }
formulaire014-equation022	y = u _ { y } ( x )
TrainData2_6_sub_88	3 0 \times 2 9 x ^ { 2 8 }
200922-949-183	n < \int \sqrt { z } d d
200926-1550-158	\cdots + h \neq S _ { \phi }
formulaire031-equation027	m - g + 1
MfrDB1894	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
formulaire037-equation056	2 - 5 i
formulaire028-equation062	y _ { i j } = 1
formulaire001-equation059	h ( t ) = \frac { 1 } { \pi t }
200923-1556-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
MfrDB1669	1 2 3 4 + 5 6 7 8 > 9 0
MfrDB3396	V = a \cdot b \cdot c
2009212-952-60	\frac { \beta + \gamma } { \theta }
2009212-952-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
MfrDB1613	a + b = c ^ { 2 }
90_leissi	y = r \sin \theta
MfrDB1899	( y - 3 ) ( y + 3 ) + y ( y + 3 ) = 0
2009212-952-7	\sum \limits _ { m } f ( m + 3 )
MfrDB0108	\frac { a } { b } \cdot \frac { b } { a } = 1
2009220-1327-63	N _ { E } + 7
MfrDB2300	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
200926-131-233	\frac { p } { N } + \int \theta d C
TrainData2_25_sub_9	\sqrt { b ^ { 2 } - 4 a c }
formulaire034-equation020	1 2 3 \pm 9 5 + 1 2 5
MfrDB1813	a _ { 1 } + a _ { 2 }
MfrDB3395	( 1 + x ) ^ { r } \geq 1 + r x
formulaire008-equation072	Y ^ { p } - X ^ { p }
formulaire020-equation021	x ^ { 2 } - 2
200922-1017-85	\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } }
MfrDB3906	( y ^ { 4 } - 1 ) / ( y ^ { 2 } - 1 )
MfrDB2275	1 2 3 4 + 5 6 7 8 > 9 0
200923-131-117	5 b < \int E d e
MfrDB2871	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
MfrDB3121	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
200922-1017-115	P - \frac { L } { z }
formulaire007-equation002	1 0 ^ { 6 , 5 }
200923-1556-208	2 \geq \int w d V
2009212-1031-70	L \sum \limits _ { m > S } \sigma
200926-131-15	\cdots + f ^ { j } ( j )
TrainData2_17_sub_9	\sqrt { b ^ { 2 } - 4 a c }
formulaire027-equation073	\gamma ^ { 0 } = \beta
200923-1553-123	\sqrt { \cdots - k - H }
200923-1254-224	- T - T - M
MfrDB1665	x + 1 0 = 2 0
MfrDB3828	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
2009220-1327-70	\cos \sqrt { \beta } ^ { M }
formulaire007-equation059	t = k \sqrt { \frac { m } { q } }
MfrDB2013	\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
formulaire009-equation047	h = 8 0 0 k m
2009210-947-37	1 3 + \pi r ^ { 2 }
200922-949-156	\sin ^ { A } j
formulaire033-equation021	\beta _ { n } + i \gamma _ { n }
200923-1254-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
200923-1556-67	\tan ( \frac { \pi } { 4 } ) = 1
TrainData2_7_sub_20	a + b + c + d + e
200923-1556-56	2 \alpha + 3 \sqrt { \beta }
200924-1331-169	\sqrt { i } ^ { T }
formulaire014-equation043	k _ { 1 } = \sqrt { \frac { 2 } { 3 } }
200922-1017-12	\int \limits _ { 0 } ^ { \pi } \cos ( \frac { \theta } { 2 } ) d \theta
formulaire030-equation019	( 2 m - 1 ) = 9
200922-947-131	\sin ^ { A } j
MfrDB1560	2 \log ( x - 3 ) = \log ( 5 - x )
8_em_65	\forall i \in I
2009213-137-80	e ^ { \int x ^ { 2 } d x }
MfrDB0582	f ( x ) = y ^ { 2 } + 1
formulaire001-equation029	r , \theta , \phi , t
MfrDB2077	a _ { 1 } + a _ { 2 }
MfrDB1559	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
2009213-139-80	e ^ { \int x ^ { 2 } d x }
73_david	| \frac { a x _ { 0 } + b y _ { 0 } + c } { \sqrt { a ^ { 2 } + b ^ { 2 } } } |
formulaire026-equation026	n ( n ^ { 2 } + 2 )
200926-1617-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
200923-1253-77	\sum \limits _ { I \geq j } C - g
MfrDB3074	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
200924-1331-14	a + \sqrt { \frac { b + c } { d + f } }
formulaire034-equation016	\frac { e } { 3 }
formulaire017-equation028	y = y _ { 1 } + \frac { 1 } { z }
MfrDB1679	\frac { x ^ { 4 } } { 2 ^ { 3 } } - ( \frac { 2 } { x } ) ^ { - 4 }
MfrDB2827	f ( x ) \cdot h ( x ) = ( x + 1 ) ( 2 x - 3 )
MfrDB3218	x ^ { 2 } = x ^ { 3 }
200923-1253-110	\sqrt { V + z } ^ { C }
MfrDB1241	\frac { x ^ { 4 } } { 2 ^ { 3 } } - ( \frac { 2 } { x } ) ^ { - 4 }
KME2G3_2_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
MfrDB0574	\sqrt { ( 1 + 5 \times 1 2 ) }
formulaire026-equation021	\frac { 1 } { r ^ { n } }
MfrDB1697	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
90_daniel	y = r \sin \theta
200922-1017-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
formulaire025-equation061	- a - b \sqrt { 2 }
formulaire015-equation027	u ( \theta _ { 0 } , p ) = 0
MfrDB2274	\frac { 2 ^ { 5 } } { 3 + 1 }
formulaire015-equation070	6 9 + 4 2 = 1 1 1
TrainData1_0_sub_1	\log _ { 2 } 8 = 3
formulaire027-equation033	s _ { 0 } = 2
200924-1312-144	\frac { n } { \sqrt { Y } }
MfrDB2491	( y ^ { 4 } - 1 ) / ( y ^ { 2 } - 1 )
MfrDB1270	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
formulaire027-equation039	n Y _ { 2 } ^ { ( n ) }
200923-1556-16	\frac { H ( f ) } { T \mu }
formulaire018-equation038	x _ { k - 1 }
90_Nina	y = r \sin \theta
MfrDB2010	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
200922-947-37	1 3 + \pi r ^ { 2 }
200922-947-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
MfrDB3557	x < \frac { c - b } { a }
MfrDB0320	x ^ { 2 } \times y ^ { 2 }
MfrDB0048	a ^ { 2 } - b ^ { 2 } = ( a + b ) ( a - b )
KME2G3_17_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
TrainData2_15_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
MfrDB1232	1 2 3 4 + 5 6 7 8 > 9 0
MfrDB3107	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
200923-1251-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
MfrDB2935	\sum \limits _ { n = 0 } ^ { \infty } f _ { n } ( x )
TrainData2_3_sub_9	\sqrt { b ^ { 2 } - 4 a c }
2009213-139-150	z ^ { \cdots - h }
KME2G3_2_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
200926-1617-7	\sum \limits _ { m } f ( m + 3 )
formulaire017-equation037	u _ { p _ { i } , q _ { i } }
200926-1550-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
formulaire001-equation013	s ^ { n - 3 }
formulaire028-equation049	a _ { i , j }
200924-1331-7	\sum \limits _ { m } f ( m + 3 )
formulaire017-equation002	\frac { d } { d t }
MfrDB2898	v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
formulaire032-equation007	y = \phi _ { i j } ( x )
MfrDB1937	x ^ { 2 } - x - 6 < 0
200925-1126-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
formulaire031-equation030	6 8 \pm 1 7 1 \div 1 3 3
MfrDB2144	E = E _ { k } + E _ { p }
TrainData2_26_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
KME2G3_29_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
formulaire035-equation021	6 \times n + 1
formulaire032-equation028	y = b + i e
200922-949-201	E _ { B } ^ { - N }
200923-1254-106	\frac { M } { u ^ { L } }
formulaire031-equation074	v ( 1 ) = v ( - 1 ) = 0
formulaire021-equation069	p _ { i } = w _ { i }
MfrDB1107	x + y = 1 6
formulaire017-equation062	u = 1 - m
MfrDB2015	E = E _ { k } + E _ { p }
formulaire038-equation055	6 5 + 2 8 + 1 5 1
200923-1251-221	- \sum m m
MfrDB2202	| a - b | \leq | a - c | + | c - b |
MfrDB3464	f ( x ) \cdot h ( x ) = ( x + 1 ) ( 2 x - 3 )
200923-1553-12	\int \limits _ { 0 } ^ { \pi } \cos ( \frac { \theta } { 2 } ) d \theta
formulaire039-equation052	w ( z ) = 1
formulaire005-equation033	\sum \frac { f ( n ) } { n ^ { s } }
MfrDB0683	y = m x + b
formulaire015-equation066	n ^ { 2 } + n
65_Nina	x = r \cos \theta
formulaire016-equation014	c ( t ) = e ^ { t v }
200924-1331-196	\cdots + ( r )
MfrDB1960	\int \limits _ { a } ^ { a } f ( x ) d x = 0
2009213-137-176	\cdots + C ^ { z }
formulaire027-equation023	\sum x _ { n }
MfrDB0701	2 + 2 = 5
formulaire013-equation034	\forall x \in X
200923-1254-239	I y
2009220-1327-73	a ^ { b ^ { c ^ { d } } }
200924-1331-284	\frac { y } { l ^ { H } }
200924-1331-63	o _ { \sigma } \frac { e + i } { C }
200922-949-60	\frac { \beta + \gamma } { \theta }
formulaire028-equation003	r _ { 1 } - r _ { 2 }
TrainData2_7_sub_88	3 0 \times 2 9 x ^ { 2 8 }
200923-1556-205	\frac { \int B d j } { g - j }
TrainData2_21_sub_20	a + b + c + d + e
MfrDB1848	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
200924-1312-38	\frac { 4 } { 3 } \pi r ^ { 3 }
106_edwin	y ^ { 4 } + y + 1 = 0
MfrDB0028	S = \pi r ^ { 2 }
MfrDB3209	\sqrt [ 3 ] { \frac { z ^ { 3 } + 2 } { \sqrt { z } + 1 } }
TrainData2_14_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
formulaire031-equation011	e _ { 1 } = 0
formulaire011-equation016	\log _ { a } x
MfrDB2372	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
formulaire026-equation072	\alpha = 1
200923-1251-85	\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } }
200924-1312-146	\cdots + \frac { t } { y }
MfrDB3448	g ( 2 , 3 , 4 ) = 3 4 ^ { - 3 }
formulaire034-equation018	5 + 9 + 5 = 1 9
MfrDB1792	\frac { x ^ { 4 } } { 2 ^ { 3 } } - ( \frac { 2 } { x } ) ^ { - 4 }
formulaire003-equation057	m _ { 1 } = 1
200926-131-7	\sum \limits _ { m } f ( m + 3 )
65_edwin	x = r \cos \theta
2009212-952-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
200922-949-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
formulaire032-equation029	\pi ( x ) = m
200923-131-54	\log _ { 2 } ( 2 ^ { 5 } ) = 5
200922-949-90	\sum \limits _ { z \geq F } c
formulaire027-equation056	\alpha + 0 = \alpha
formulaire039-equation061	2 ^ { 8 } = 2 5 6
MfrDB1526	a x + b < c
200924-1312-60	\frac { \beta + \gamma } { \theta }
TrainData2_6_sub_9	\sqrt { b ^ { 2 } - 4 a c }
formulaire006-equation019	c - \alpha u
formulaire007-equation054	p = m _ { 2 } ( q )
formulaire001-equation033	a ^ { 2 } - 2 a b
200923-1251-14	a + \sqrt { \frac { b + c } { d + f } }
TrainData2_22_sub_9	\sqrt { b ^ { 2 } - 4 a c }
200925-1126-182	\tan ^ { n } X ^ { L + q }
200924-1312-108	\cdots + \cdots + g
200923-131-41	\frac { B } { S } + v
MfrDB3344	g ( 2 , 3 , 4 ) = 3 4 ^ { - 3 }
formulaire024-equation066	2 \pm \sqrt { 2 }
formulaire016-equation057	2 \pi x y = t
90_carlos	y = r \sin \theta
MfrDB1608	g ( 2 , 3 , 4 ) = 3 4 ^ { - 3 }
200923-1553-111	\int \cos V d \lambda _ { A }
formulaire007-equation063	s ^ { - 1 }
formulaire001-equation041	b _ { n } - a _ { n }
formulaire017-equation048	a ^ { n } - b ^ { n }
formulaire009-equation018	\sin ( \pi z )
formulaire006-equation028	\sqrt { 2 + \sqrt { 2 } }
formulaire039-equation022	x _ { 1 } , x _ { 2 }
TrainData2_18_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
2009213-137-17	\cdots - 9 . 6
200925-1126-14	a + \sqrt { \frac { b + c } { d + f } }
formulaire013-equation026	X _ { 2 } = 2 1
MfrDB2833	a x + b < c
200923-1553-43	\frac { \pi r ^ { 2 } h } { 3 }
MfrDB0081	f ( x ) + g ( x ) = 0
200926-1550-146	\int \limits _ { \frac { h } { 3 } } ^ { d } \sum H d q
TrainData2_18_sub_20	a + b + c + d + e
MfrDB2520	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
MfrDB2079	1 2 3 4 + 5 6 7 8 > 9 0
200924-1312-73	a ^ { b ^ { c ^ { d } } }
formulaire020-equation009	m + i
106_rosario	y ^ { 4 } + y + 1 = 0
formulaire022-equation034	( d _ { 1 } , d _ { 2 } , d _ { 3 } , d _ { 4 } )
formulaire017-equation046	a b = 2
MfrDB3567	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
formulaire036-equation014	o ( ( x - x _ { 0 } ) ^ { n } )
TrainData2_15_sub_20	a + b + c + d + e
200923-1251-268	\frac { P V - \alpha } { 6 . 1 }
MfrDB3533	E = E _ { k } + E _ { p }
200926-1617-60	\frac { \beta + \gamma } { \theta }
200923-131-206	\sum \limits _ { h > \pi } I - q
formulaire030-equation018	- \frac { 1 } { r ^ { 2 } }
MfrDB2828	A ( x ) = \frac { 1 } { x } + \frac { 1 } { x ^ { 2 } } + B ( x )
KME2G3_13_sub_65	[ \frac { 2 } { 3 } x ^ { \frac { 3 } { 2 } } ] _ { 0 } ^ { 1 }
2009213-139-109	\theta \leq f + \frac { \beta } { 7 }
200922-1017-81	b _ { Y } + 8 . 5
formulaire021-equation064	j ^ { 2 } = - 1 - j
65_herbert	x = r \cos \theta
MfrDB1905	6 ^ { 6 } \cdot 6 ^ { 2 } = ( 6 ^ { x } ) ^ { 4 }
200926-1550-85	\sqrt { \frac { 2 z ^ { 3 } } { \sqrt { \frac { 3 z ^ { 2 } } { \sqrt { 4 z } } } } }
formulaire021-equation042	d ^ { 2 } p q ( p ^ { 2 } - q ^ { 2 } )
MfrDB1907	2 \log ( x - 3 ) = \log ( 5 - x )
formulaire039-equation054	q = \frac { 2 c } { 5 }
MfrDB0541	x = a \times b
formulaire038-equation068	\frac { 1 + \sqrt { 5 } } { 2 }
MfrDB1623	( 2 - a ) ^ { ( b + a ) }
200923-1254-80	e ^ { \int x ^ { 2 } d x }
MfrDB2014	| a + i b | = \sqrt { x ^ { 2 } + y ^ { 2 } }
200926-1617-48	\sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
MfrDB1908	2 ^ { x + 1 } - 2 ^ { x } = 1 6
formulaire035-equation051	2 ^ { ( n - 1 ) }
MfrDB1748	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
formulaire017-equation026	\frac { 1 } { 2 } ( 3 x ^ { 2 } - 1 )
MfrDB3561	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
formulaire012-equation054	u _ { i } ( t , x _ { j } )
